,Close_Time,Open,Close,High,Low,bb_u,bb_l,rsi,slowk,slowd,position,entry_p,stop_loss,size,exit_p,amt
0,2022-02-26 07:59:59.999000064,2596.26,2768.49,2834.97,2571.72,3267.380217835296,2387.0844488313705,47.29887724199392,52.27574509869556,31.832758390782242,Buy,2596.2,2300.0,1.0,,2596.2
1,2022-03-16 07:59:59.999000064,2589.42,2617.73,2669.0,2507.0,3078.5496950799657,2361.7063049200337,46.65271956564331,28.84072732130037,21.583098183923017,Buy,2589.41,2498.67,1.0,,2589.41
2,2022-03-28 07:59:59.999000064,3145.01,3295.65,3299.37,3126.02,3228.2749356299896,2374.9703977033437,70.19516606184395,99.53540651929563,93.20874244460896,Sell,,,-2.0,3295.65,-6591.3
3,2022-04-20 07:59:59.999000064,3055.56,3101.77,3131.0,3030.34,3541.2085485858934,2841.454118080773,49.60515313004775,41.685740444037556,24.54362719173264,Buy,3055.56,2883.22,1.0,,3055.56
4,2022-04-27 07:59:59.999000064,3006.63,2809.67,3039.54,2767.0,3551.0201537826642,2774.5165128840026,37.611977605538904,10.331719128329315,25.49862875356533,Buy,3006.62,2797.01,1.0,,3006.62
5,2022-05-01 07:59:59.999000064,2817.13,2726.66,2841.63,2709.26,3508.0815906369985,2682.0517426963347,36.62867882201287,3.696307940689052,18.99320030629909,Stop,,,-2.0,2797.01,-5594.02
6,2022-05-03 07:59:59.999000064,2824.81,2856.54,2894.22,2778.78,3438.9397646162734,2670.0182353837263,44.11684856027444,31.28690997153414,19.843225559756927,Buy,2824.81,2716.13,1.0,,2824.81
7,2022-05-06 07:59:59.999000064,2940.65,2747.97,2954.65,2683.0,3271.494438148813,2705.5908951845204,41.612070607027576,18.222359342570204,27.587764963618582,Buy,2940.64,2771.74,1.0,,2940.64
8,2022-05-07 07:59:59.999000064,2747.96,2692.85,2758.18,2632.95,3266.618606839377,2678.7560598272894,39.707149161128434,14.732285594825271,27.369014429642352,Stop,,,-2.0,2771.74,-5543.48
9,2022-05-21 07:59:59.999000064,2019.55,1959.08,2064.0,1923.0,3314.3643080321253,1740.3636919678747,34.04600737733519,17.5903401300367,16.82427540565464,Buy,2019.55,1903.18,1.0,,2019.55
10,2022-05-27 07:59:59.999000064,1942.64,1792.23,1966.01,1735.0,3103.529539045353,1557.1691276213141,31.00139771296581,13.247685185185189,25.633343738062592,Stop,,,-1.0,1903.18,-1903.18
11,2022-06-17 07:59:59.999000064,1237.53,1068.5,1257.85,1051.55,2270.968063920956,1230.4052694123775,19.936585115087325,5.9739399293286235,15.151246449441906,Buy,1237.52,1014.4,1.0,,1237.52
12,2022-06-19 07:59:59.999000064,1086.93,995.13,1097.58,881.56,2302.9798638100156,1074.8874695233178,19.513264745461896,10.93659720349756,8.306898714475633,Stop,,,-1.0,1014.4,-1014.4
13,2022-07-15 07:59:59.999000064,1115.01,1193.42,1214.65,1072.11,1269.2821021512418,1003.3812311820916,48.65900189722177,69.26038350484936,41.95006630606472,Buy,1115.0,1006.32,1.0,,1115.0
14,2022-07-19 07:59:59.999000064,1338.65,1581.04,1597.47,1336.07,1389.5014639047095,957.7418694286238,68.83593900377713,97.22067157235895,86.96572935046369,Sell,,,-1.0,1581.04,-1581.04
