Open_Time,Open,Close,High,Low,Volume,ema_8_15m
2023-05-11 17:45:00,1822.56,1820.36,1823.48,1820.35,1653.76,1820.36
2023-05-11 18:00:00,1820.36,1820.33,1820.6,1819.21,2332.81,1820.353333333333
2023-05-11 18:15:00,1820.33,1821.53,1821.87,1819.8,2051.91,1820.6148148148147
2023-05-11 18:30:00,1821.54,1823.91,1824.36,1819.88,1897.8,1821.3470781893004
2023-05-11 18:45:00,1823.92,1822.71,1825.81,1822.71,1912.71,1821.6499497027892
2023-05-11 19:00:00,1822.71,1822.8,1824.5,1821.5,1844.57,1821.9055164355027
2023-05-11 19:15:00,1822.79,1822.57,1824.5,1821.2,1844.58,1822.0531794498354
2023-05-11 19:30:00,1822.58,1821.91,1824.08,1821.46,3160.69,1822.0213617943166
2023-05-11 19:45:00,1821.91,1820.84,1821.91,1818.87,2556.9,1821.7588369511352
2023-05-11 20:00:00,1820.83,1828.17,1832.65,1820.2,7745.19,1823.1835398508829
2023-05-11 20:15:00,1828.17,1831.6,1832.96,1826.8,4339.79,1825.0538643284644
2023-05-11 20:30:00,1831.6,1819.83,1839.0,1815.52,18170.92,1823.8930055888059
2023-05-11 20:45:00,1819.83,1819.26,1824.46,1816.68,6663.43,1822.8634487912934
2023-05-11 21:00:00,1819.26,1814.16,1822.56,1810.0,8695.1,1820.9293490598948
2023-05-11 21:15:00,1814.16,1814.07,1817.39,1813.0,6812.58,1819.405049268807
2023-05-11 21:30:00,1814.07,1821.54,1823.59,1810.48,8707.6,1819.8794827646277
2023-05-11 21:45:00,1821.54,1807.45,1822.78,1801.0,19581.07,1817.1173754835993
2023-05-11 22:00:00,1807.46,1808.18,1810.3,1792.24,19586.44,1815.1312920427995
2023-05-11 22:15:00,1808.19,1806.29,1810.07,1805.3,6049.7,1813.166560477733
2023-05-11 22:30:00,1806.29,1799.48,1807.98,1798.2,7013.73,1810.1251025937922
2023-05-11 22:45:00,1799.47,1798.59,1801.6,1785.5,16799.6,1807.5617464618385
2023-05-11 23:00:00,1798.58,1795.82,1804.62,1795.15,8136.89,1804.9524694703189
2023-05-11 23:15:00,1795.82,1803.4,1804.86,1794.96,6936.87,1804.6074762546923
2023-05-11 23:30:00,1803.4,1807.35,1808.73,1803.39,5513.1,1805.2169259758716
2023-05-11 23:45:00,1807.36,1807.7,1809.08,1803.78,4678.92,1805.7687202034558
2023-05-12 00:00:00,1807.7,1805.63,1810.0,1805.09,6575.23,1805.7378934915769
2023-05-12 00:15:00,1805.64,1804.94,1810.48,1802.53,4706.46,1805.560583826782
2023-05-12 00:30:00,1804.94,1806.06,1808.19,1803.46,3532.24,1805.6715651986083
2023-05-12 00:45:00,1806.06,1804.74,1808.4,1802.8,3609.67,1805.4645507100286
2023-05-12 01:00:00,1804.74,1798.8,1804.75,1797.51,6361.62,1803.9835394411334
2023-05-12 01:15:00,1798.79,1781.4,1801.32,1772.68,34275.74,1798.9649751208817
2023-05-12 01:30:00,1781.41,1776.2,1786.2,1776.0,12033.74,1793.9060917606857
2023-05-12 01:45:00,1776.21,1782.92,1783.44,1775.69,8578.67,1791.4647380360889
2023-05-12 02:00:00,1782.92,1784.82,1784.98,1779.91,5335.15,1789.9881295836246
2023-05-12 02:15:00,1784.82,1784.35,1785.55,1776.72,7418.44,1788.7352118983747
2023-05-12 02:30:00,1784.35,1785.84,1788.69,1782.48,7068.82,1788.0918314765136
2023-05-12 02:45:00,1785.84,1789.4,1790.32,1785.15,5173.4,1788.3825355928439
2023-05-12 03:00:00,1789.41,1797.17,1797.53,1787.12,4543.06,1790.3353054611007
2023-05-12 03:15:00,1797.18,1788.6,1797.18,1788.31,5892.26,1789.9496820253005
2023-05-12 03:30:00,1788.6,1779.43,1788.61,1778.6,4893.61,1787.6119749085672
2023-05-12 03:45:00,1779.42,1784.46,1788.15,1776.36,7254.0,1786.9115360399967
